Zip Code,County,2010,2011,2012,2013,2014,2015,2016,2010_AAW,2011_AAW,2012_AAW,2013_AAW,2014_AAW,2015_AAW,2016_AAW
36001,"Albany County, New York",48709,47379.4617,47025.11499,47741.77781,48039.83238,49238.04788,33887.85509,,,,,,,
36003,"Allegany County, New York",32650,32311.72731,32206.83564,32040.35925,32796.2929,33698.27081,45179.9109,,,,,,,
36005,"Bronx County, New York",44723,43471.41209,43642.77403,43454.51104,42772.27898,44434.64595,37023.7381,,,,,,,
36007,"Broome County, New York",37213,36332.09375,36086.80186,35846.93248,35832.81833,36787.3395,34582.81999,,,,,,,
36009,"Cattaraugus County, New York",35196,34568.62356,34543.88027,34741.70851,34515.47541,35333.60671,37889.52232,,,,,,,
36011,"Cayuga County, New York",35830,34898.85423,35522.13411,35694.74378,36381.9385,37716.23935,33447.32106,,,,,,,
36013,"Chautauqua County, New York",33341,32389.48511,32510.88751,31980.04056,32367.17913,33233.36688,40067.91812,,,,,,,
36015,"Chemung County, New York",39073,38755.06531,39085.77307,39402.95115,39803.02987,40036.21892,39049.29557,,,,,,,
36017,"Chenango County, New York",36501,35473.87799,35836.57284,36393.51259,36967.42424,38332.78187,38415.466,,,,,,,
36019,"Clinton County, New York",39094,36735.28236,37223.69145,36633.85936,36574.67604,38046.75699,36343.15799,,,,,,,
36021,"Columbia County, New York",36291,35848.26742,35616.56015,34840.07437,34733.66885,36084.53552,33899.54272,,,,,,,
36023,"Cortland County, New York",34808,33514.57333,33592.06573,33870.33546,33405.41626,38152.08678,36777.39867,,,,,,,
36025,"Delaware County, New York",35900,34655.98109,36003.70694,35683.60803,36514.67284,37872.41801,45983.66074,,,,,,,
36027,"Dutchess County, New York",48008,46829.39724,46603.97482,45978.61615,45576.97388,46030.02916,42284.07398,,,,,,,
36029,"Erie County, New York",40801,40140.30618,40276.4855,40168.5345,40618.52787,41922.16709,34473.13601,,,,,,,
36031,"Essex County, New York",35135,33718.08759,33549.57401,33766.40172,33887.26012,34146.83046,37014.74761,,,,,,,
36033,"Franklin County, New York",37388,35853.06728,36704.3482,36055.72794,35982.82632,36326.06764,34314.90338,,,,,,,
36035,"Fulton County, New York",35443,34620.4621,34252.10379,33987.26092,33030.85085,33735.49945,34903.78049,,,,,,,
36037,"Genesee County, New York",33859,33644.16967,33335.22689,33610.50111,33653.61131,34915.91958,36373.72566,,,,,,,
36039,"Greene County, New York",36979,35673.55235,36395.57503,35525.85146,35368.24812,36595.74824,28822.61285,,,,,,,
36041,"Hamilton County, New York",28747,26683.40629,25620.61896,27111.85843,29368.83755,28126.68777,32583.33494,,,,,,,
36043,"Herkimer County, New York",30946,30442.6601,30715.84838,31697.9347,31572.59134,32966.41033,35418.93559,,,,,,,
36045,"Jefferson County, New York",36286,35394.20024,35110.43655,34251.73516,34428.19803,35234.63302,39923.17123,,,,,,,
36047,"Kings County, New York",39714,37973.64738,37455.97952,37081.14564,37329.2617,39997.17426,33405.96481,,,,,,,
36049,"Lewis County, New York",33770,33101.78499,32967.90957,32695.51301,33277.22762,34112.32587,33222.55881,,,,,,,
36051,"Livingston County, New York",33629,33091.22529,33578.84609,33157.64696,32516.27798,33466.72686,34601.70002,,,,,,,
36053,"Madison County, New York",34773,33534.73276,33559.96088,33968.70132,34072.72455,34726.14434,44434.59926,,,,,,,
36055,"Monroe County, New York",44415,43367.73502,43159.31268,43046.19992,43201.39276,44647.12157,34639.46008,,,,,,,
36057,"Montgomery County, New York",34437,32972.18865,33148.26332,33706.08303,34406.37869,34800.60161,53884.50361,,,,,,,
36059,"Nassau County, New York",53137,51796.29694,51770.96804,51092.71294,51271.82277,53162.49082,102059.1468,,,,,,,
36061,"New York County, New York",98423,97286.53201,96201.25529,94375.54772,98509.79424,103225.0168,36689.29186,,,,,,,
36063,"Niagara County, New York",35743,35702.35154,35118.93489,35134.24397,35295.51697,36171.705,36972.49231,,,,,,,
36065,"Oneida County, New York",37134,36418.49131,36436.17823,36543.84532,36051.92091,36795.51164,43786.38491,,,,,,,
36067,"Onondaga County, New York",43239,42131.28994,42748.55938,42108.01232,42217.70398,43607.44384,41785.10177,,,,,,,
36069,"Ontario County, New York",37542,36771.76133,37370.99608,39040.11104,39335.73224,45730.38405,40350.21951,,,,,,,
36071,"Orange County, New York",40322,39291.69015,38923.36027,38369.18163,38443.86654,39773.80245,35949.37451,,,,,,,
36073,"Orleans County, New York",35642,35623.63376,36272.82117,36184.71713,35293.69869,35709.52512,39112.229,,,,,,,
36075,"Oswego County, New York",37580,36098.82034,35948.93983,36181.93319,37152.88866,38460.81205,36773.80247,,,,,,,
36077,"Otsego County, New York",35866,35219.48518,34661.91283,34785.32356,34988.22787,36352.40008,45877.57295,,,,,,,
36079,"Putnam County, New York",46808,45827.18555,45345.27563,45391.20493,44638.74207,45569.66531,45586.28107,,,,,,,
36081,"Queens County, New York",44723,43367.73502,43116.82096,42907.93093,43182.30083,44787.86397,44144.20642,,,,,,,
36083,"Rensselaer County, New York",41678,40814.20715,40784.49763,40968.4531,42697.72956,44700.69449,42174.39,,,,,,,
36085,"Richmond County, New York",40263,39322.40928,38973.40608,38898.13012,38961.16683,41542.61662,47048.13479,,,,,,,
36087,"Rockland County, New York",50511,49320.52687,49972.15187,49002.90239,48064.37914,50090.67443,38144.85224,,,,,,,
36089,"St. Lawrence County, New York",36195,35467.15818,36321.92271,36312.77835,36511.94542,37343.953,43110.30004,,,,,,,
36091,"Saratoga County, New York",40552,40389.89913,40866.64829,41247.77503,41205.83189,42938.23642,49412.63374,,,,,,,
